company,1568
example,372
market,358
marketing,302
people,290
technology,288
way,245
brand,231
communication,198
approach,193
case,163
number,136
consumer,133
issue,118
use,104
application,100
individual,96
growth,88
fact,78
today,66
basis,66
sense,64
phone,53
interest,53
variety,53
user,49
co,48
web,44
hand,44
one,44
offering,38
home,38
internet,35
assumption,32
life,28
attitude,22
advertising,21
concept,21
ad,17
scenario,17
cell,16
face,16
potential,15
motivation,13
mobile,10
picture,10
differ,3
minority,2
hand-held,1
categorize,1
