File,TopicWords,WordScore,TopicNumber

"['1990', '1991', '1992', '1993', '1994']","[['mncs' 'competitors' 'outsourcing' 'competitor' 'automakers' 'ceos'
  'profitability' 'managerial' 'suppliers' 'consumers' 'customers'
  'manufacturers' 'salespeople' 'companys' 'negotiators' 'economics'
  'ibm' 'consumer' 'manufacturing' 'managing' 'supplier' 'tqm' 'ceo'
  'factors' 'customer' 'firms' 'brainstorming' 'clients' 'executives'
  'cio' 'components' 'profits' 'bundling' 'vendor' 'productivity'
  'factor' 'accounting' 'innovative' 'similarly' 'competing' 'reduce'
  'economic' 'following' 'incremental' 'gm' 'vendors' 'inventory'
  'subsidiary' 'partnership' 'economies']
 ['managerial' 'managing' 'ceos' 'managers' 'organizational' 'executives'
  'management' 'manager' 'ceo' 'mncs' 'cio' 'manage' 'tqm' 'organization'
  'neither' 'leadership' 'brainstorming' 'executive' 'negotiators'
  'competitors' 'who' 'gm' 'consultant' 'consultants' 'managements'
  'factor' 'competitor' 'partnership' 'subsidiary' 'cooperative'
  'productivity' 'outsourcing' 'dominant' 'similar' 'managed' 'direction'
  'fewer' 'redesign' 'following' 'methodology' 'directors' 'accounting'
  'factors' 'similarly' 'above' 'meetings' 'independent' 'cios' 'ibm'
  'whose']]",

  "[[0.18384859 0.18023945 0.17568332 0.14950201 0.1377755  0.13644177
  0.13612044 0.12912777 0.12258329 0.12226936 0.11787532 0.11715184
  0.11525508 0.11262108 0.11210871 0.10833342 0.10714656 0.10635634
  0.10530619 0.1049317  0.10426357 0.09962082 0.09941937 0.09864447
  0.09721544 0.09628846 0.09607191 0.09490709 0.09133168 0.09036346
  0.08972725 0.0885633  0.08682874 0.08612251 0.08475906 0.0837291
  0.08352675 0.08112657 0.08103568 0.08088855 0.08064245 0.07981322
  0.07960521 0.07917608 0.07916206 0.07891444 0.07838435 0.07822321
  0.07761514 0.07731538]
 [0.23235843 0.2179228  0.18695095 0.18297951 0.1764608  0.17643282
  0.16916102 0.16507244 0.16266505 0.14837137 0.14657873 0.14582382
  0.14323604 0.13695832 0.12835528 0.12603709 0.12559567 0.12004995
  0.11790717 0.11697409 0.11614154 0.11422163 0.11354718 0.11320621
  0.11062838 0.11009514 0.10901497 0.10816943 0.10755937 0.1072332
  0.10640109 0.10604574 0.10505685 0.1034647  0.10323453 0.10254449
  0.10090741 0.09548644 0.09539591 0.09427967 0.09395614 0.09271821
  0.09169292 0.09056252 0.08865529 0.08822044 0.08757115 0.0875236
  0.08693828 0.08652347]]",[0 1]

"['1995', '1996', '1997', '1998', '1999']","[['managerial' 'managing' 'organizational' 'ceos' 'mncs' 'executives'
  'competitors' 'managers' 'outsource' 'ceo' 'subcontracting'
  'colleagues' 'organization' 'organizing' 'competitor' 'redesign'
  'hierarchical' 'neither' 'management' 'failed' 'marketers'
  'outsourcing' 'manager' 'manage' 'innovative' 'outsourced' 'leadership'
  'designers' 'partnership' 'productivity' 'who' 'factor' 'innovators'
  'managements' 'similar' 'involving' 'fewer' 'subsidiary'
  'collaborative' 'failures' 'cio' 'tacit' 'respondents' 'concurrent'
  'frameworks' 'subsidiaries' 'dominant' 'meetings' 'failure'
  'incremental']
 ['competitors' 'consumers' 'marketers' 'competitor' 'mncs'
  'manufacturers' 'consumer' 'customers' 'profitability' 'concurrent'
  'economics' 'companys' 'suppliers' 'outsourcing' 'outsource' 'exports'
  'clients' 'innovators' 'sourcing' 'wal' 'profits' 'providers' 'brands'
  'economic' 'standardization' 'buyers' 'profitable' 'vendors' 'margin'
  'ceos' 'supplier' 'following' 'retailer' 'competing' 'retailers'
  'distributors' 'managerial' 'customer' 'manufacturer' 'decline'
  'failed' 'factors' 'profit' 'maximize' 'similarly' 'reduce' 'expand'
  'incremental' 'leveraging' 'increasing']]","[[0.19125006 0.1863772  0.1805945  0.16368419 0.16296908 0.1620314
  0.15032479 0.149649   0.1424178  0.14191073 0.14012384 0.1347333
  0.13342126 0.1297588  0.12821227 0.12717809 0.1266554  0.12590797
  0.1257783  0.12415744 0.12357336 0.12076207 0.12002642 0.11889783
  0.11785221 0.11758171 0.11754411 0.11709537 0.11662468 0.11633298
  0.11283953 0.11058174 0.10882165 0.10849752 0.10688293 0.10641406
  0.10638259 0.10601419 0.10539943 0.10377339 0.10360557 0.10198713
  0.1011512  0.10105982 0.09991286 0.09828217 0.09768458 0.09765349
  0.09638743 0.09502769]
 [0.22322768 0.19902268 0.19887246 0.18213303 0.17930463 0.17237721
  0.1717584  0.15634525 0.1481356  0.13767917 0.1355234  0.13475826
  0.13439569 0.13021892 0.12890929 0.12864938 0.12503213 0.12284525
  0.1223487  0.12176882 0.12089427 0.11972182 0.11884693 0.11797692
  0.11667905 0.113974   0.11349084 0.11332762 0.11086986 0.1103691
  0.11035158 0.10983633 0.10865656 0.10848822 0.10777134 0.10734189
  0.10477209 0.10334685 0.10133903 0.1011822  0.10110904 0.10039543
  0.09933319 0.09883511 0.09856783 0.09852112 0.09742528 0.0973217
  0.09716358 0.0971223 ]]",[0 1]

"['2000', '2001', '2002', '2003', '2004']","[['ceos' 'managerial' 'executives' 'managing' 'managers' 'ceo'
  'leadership' 'organizational' 'competitors' 'management' 'mergers'
  'competitor' 'manager' 'gm' 'colleagues' 'invested' 'shareholders'
  'fewer' 'merger' 'marketers' 'shareholder' 'entrepreneurial' 'manage'
  'intermediaries' 'cio' 'analysts' 'entrepreneurs' 'sustainability'
  'erp' 'innovate' 'failed' 'productivity' 'companys' 'accounting'
  'leaders' 'executive' 'organization' 'firms' 'factor' 'similar'
  'leverage' 'corporation' 'startups' 'outsource' 'hewlett' 'ibm'
  'partnership' 'multinationals' 'respondents' 'directors']
 ['consumers' 'customers' 'marketers' 'consumer' 'competitors' 'clients'
  'customer' 'salespeople' 'competitor' 'entrepreneurial' 'suppliers'
  'buyers' 'manufacturers' 'client' 'companys' 'automakers' 'providers'
  'profitability' 'vendors' 'wal' 'innovators' 'entrepreneurs' 'innovate'
  'outsource' 'mergers' 'dealers' 'erp' 'retailer' 'outsourcing'
  'sellers' 'leveraging' 'intermediaries' 'supplier' 'ceos' 'sourcing'
  'retailers' 'merger' 'branded' 'vendor' 'brands' 'managerial'
  'profitable' 'sustainability' 'benetton' 'outsourced' 'discount'
  'firms' 'profits' 'users' 'economics']
 ['innovate' 'competitors' 'innovators' 'competitor' 'innovative'
  'entrepreneurial' 'startups' 'patent' 'patents' 'merger' 'marketers'
  'outsource' 'entrepreneurs' 'startup' 'outsourcing' 'xerox' 'mergers'
  'innovations' 'partnership' 'innovation' 'multinationals' 'erp' 'ibm'
  'microsofts' 'outsourced' 'automakers' 'companys' 'ceos' 'technologies'
  'enterprise' 'hewlett' 'firms' 'intermediaries' 'competing' 'develop'
  'collaboration' 'manufacturers' 'enterprises' 'compete' 'ceo'
  'technological' 'nokia' 'sustainability' 'managerial' 'ventures'
  'launched' 'leveraging' 'wireless' 'invested' 'managing']]","[[0.24776095 0.23420319 0.21230462 0.19649123 0.19559011 0.19195074
  0.16834264 0.16823676 0.16505419 0.1620569  0.16069898 0.15440749
  0.15242012 0.15209803 0.15050489 0.14465266 0.1437997  0.14316417
  0.13866559 0.13636726 0.13632528 0.13468167 0.13466454 0.13361767
  0.13163456 0.13142313 0.13034791 0.1298792  0.1293607  0.12898791
  0.12648758 0.12238743 0.12103552 0.12062544 0.12035383 0.12017225
  0.11873327 0.11859652 0.11669803 0.11639281 0.11550881 0.11508805
  0.11463457 0.11432181 0.11402269 0.11400041 0.11344703 0.1131639
  0.11314394 0.11267191]
 [0.23685524 0.22803912 0.22605747 0.222244   0.20937285 0.20637095
  0.19204222 0.19028704 0.17555708 0.17034008 0.16796446 0.16108665
  0.15772021 0.15036069 0.14760676 0.14694054 0.14448483 0.14434072
  0.14183688 0.14142129 0.14078823 0.13586646 0.13540515 0.13352673
  0.13045612 0.12929496 0.12874351 0.12843993 0.12631822 0.12488113
  0.12450603 0.12282845 0.12233561 0.12088113 0.12044364 0.11843942
  0.1170755  0.11562426 0.11523777 0.115156   0.11437132 0.11286235
  0.1122316  0.10996278 0.10973152 0.10903667 0.10889675 0.1080033
  0.10780891 0.10753986]
 [0.24120003 0.22203137 0.21717288 0.20605737 0.19449328 0.19070688
  0.18983749 0.18379489 0.17480424 0.17366818 0.17259225 0.17099684
  0.1700737  0.16007544 0.15654604 0.15646207 0.15490857 0.15401849
  0.1509699  0.15086123 0.14485997 0.144475   0.14286989 0.14181918
  0.14112477 0.13977301 0.13828754 0.13519207 0.13293436 0.13233352
  0.13229883 0.12825812 0.12482134 0.12457356 0.12364851 0.11937889
  0.116178   0.11534963 0.11495371 0.11494339 0.11278823 0.11156703
  0.11096419 0.11026895 0.11012354 0.10939869 0.10915089 0.10877806
  0.10875538 0.10866799]]",[0 1 2]

"['2005', '2006', '2007', '2008', '2009']","[['mncs' 'competitors' 'innovate' 'marketers' 'innovators' 'competitor'
  'entrepreneurial' 'antitrust' 'innovative' 'consumers' 'entrepreneurs'
  'companys' 'manufacturers' 'merger' 'ceos' 'patent' 'consumer'
  'patents' 'xerox' 'customers' 'outsourcing' 'firms' 'outsourced'
  'managerial' 'suppliers' 'sustainability' 'nokias' 'innovation'
  'innovations' 'partnership' 'ibm' 'enterprise' 'profitability'
  'clients' 'enterprises' 'executives' 'following' 'wal' 'similarly'
  'failed' 'competing' 'brands' 'providers' 'ethical' 'collaboration'
  'ceo' 'invested' 'regulatory' 'followed' 'ventures']
 ['ceos' 'executives' 'managerial' 'managers' 'managing' 'ceo'
  'leadership' 'organizational' 'mncs' 'competitors' 'colleagues'
  'management' 'subordinates' 'manager' 'leaders' 'competitor' 'manage'
  'merger' 'organization' 'executive' 'antitrust' 'entrepreneurs'
  'marketers' 'leader' 'fewer' 'employees' 'collaborative' 'who'
  'directors' 'neither' 'shareholders' 'failures' 'innovate'
  'productivity' 'accountable' 'direction' 'entrepreneurial'
  'consultants' 'meetings' 'factor' 'companys' 'innovative' 'shareholder'
  'leading' 'failed' 'employee' 'respondents' 'raises' 'partnership'
  'stakeholder']]","[[0.2214804  0.21577495 0.20715988 0.20251656 0.19657892 0.19566697
  0.19522804 0.17819573 0.17395698 0.17357534 0.17017137 0.1543239
  0.1482288  0.14778233 0.14667556 0.1465402  0.14249419 0.14191216
  0.13860494 0.13788503 0.13736063 0.13701473 0.12945405 0.12737018
  0.12627196 0.12619309 0.12516679 0.12218392 0.12141375 0.12112628
  0.11968693 0.1192493  0.11761345 0.11683629 0.11663023 0.11632089
  0.11474426 0.11431737 0.11425    0.11254782 0.11248244 0.11067641
  0.11048295 0.10696487 0.10557602 0.10535415 0.10514104 0.10172616
  0.10163698 0.10116183]
 [0.23489162 0.2255102  0.21837427 0.20368578 0.20076886 0.18651503
  0.18307492 0.17264697 0.16857605 0.16677569 0.16179556 0.15959068
  0.15780815 0.14876366 0.14751321 0.14529207 0.13672052 0.13118497
  0.13007644 0.12950942 0.12945974 0.1286717  0.12541279 0.12421316
  0.12062135 0.11905818 0.11861784 0.11832314 0.11785888 0.11552557
  0.11503768 0.11495373 0.11460291 0.11403369 0.11388746 0.11108285
  0.11070091 0.11008043 0.10978909 0.10906564 0.10896248 0.10813224
  0.10749678 0.10723887 0.10717009 0.10695489 0.10676431 0.10616827
  0.10577369 0.10558672]]",[0 1]
